cluster-label,drug
84,clemastine (fumarate)
85,pioglitazone hydrochloride
86,reserpine
87,cabergoline
87,bromocriptine (mesylate)
88,pergolide (mesylate)
88,domperidone
88,ropinirole (hydrochloride)
88,amisulpride
89,alogliptin (benzoate)
89,saxagliptin
89,sitagliptin
89,linagliptin
90,bethanechol chloride
90,clidinium bromide
91,prazosin hydrochloride
91,doxazosin mesylate
92,aminocaproic acid hydrochloride
92,edoxaban
92,rivaroxaban
92,apixaban
93,phenelzine sulfate
94,verapamil (hydrochloride)
95,tenofovir alafenamide
96,amodiaquine (dihydrochloride dihydrate)
97,oseltamivir (phosphate)
98,inosine
99,stiripentol
100,cysteamine hydrochloride
101,sucrose
102,niacinamide
103,glucosamine hydrochloride
104,bumetanide
105,ranolazine
106,sofosbuvir
107,silibinin
108,triclabendazole
109,artesunate
110,glutamine (d)
111,probenecid
112,thiamine
113,palmidrol [5mm]
114,furosemide
115,mefloquine
116,indapamide
117,emtricitabine
118,chlorthalidone
119,mesalamine
120,allantoin
121,mebendazole
122,methocarbamol
123,gramicidin (gramicidin a shown)
124,amifampridine
125,trimethobenzamide hydrochloride
126,dasabuvir
127,benzonatate
128,nefopam
129,hesperidin
130,sodium picosulfate
131,metolazone
132,diroximel fumarate
133,ethylenediamine tetracetate tetra-ethanolamine
134,eicosapentaenoic acid
135,natamycin
136,pentoxifylline
137,voxelotor
138,fexinidazole
139,chlorothiazide
140,cromolyn (sodium)
141,levamisole (hydrochloride)
142,tiopronin
143,deferoxamine mesylate
144,eugenol
145,raltegravir
146,folic acid
147,etravirine
148,chloroquine phosphate
149,torsemide
150,isosorbide mononitrate
151,niacin
152,α-vitamin e
153,dolutegravir
154,elvitegravir
155,clopidogrel sulfate
156,chlorhexidine dihydrochloride
157,guaiacol
158,isosorbide dinitrate
159,levocarnitine propionate (hydrochloride)
160,furazolidone
161,genistein
162,fluorescein
163,bendroflumethiazide
164,ethambutol (dihydrochloride)
165,l-ascorbic acid
166,nitazoxanide
167,hydralazine hydrochloride
168,hydrochlorothiazide
169,moxidectin
170,acetylcysteine
171,chlorzoxazone
172,cetylpyridinium chloride
173,hexylresorcinol
174,uridine
175,ethambutol hydrochloride
176,fampridine
177,pyrazinamide
178,fusidic acid
179,guaifenesin
180,pretomanid
181,gluconolactone
182,clofazimine
183,benzoic acid
184,d-α-tocopherol acetate
185,pyrantel (tartrate)
186,urea
187,ethacrynic acid
188,methenamine
189,ethionamide
190,metaxalone
191,vitamin k1
192,tenofovir
193,rimantadine hydrochloride
194,biotin
195,cobicistat
196,ledipasvir
197,mannitol
198,tenofovir disoproxil
199,atovaquone
200,rilpivirine
201,nifurtimox
202,tafenoquine (succinate)
203,carglumic acid
204,probucol
205,(+)-camphor
206,retinol
207,uridine triacetate
208,praziquantel
209,nitrofurantoin
