cluster-label,drug
33,carteolol hydrochloride
34,rizatriptan benzoate
34,sumatriptan
34,zolmitriptan
34,eletriptan (hydrobromide)
34,naratriptan (hydrochloride)
35,guanfacine (hydrochloride)
35,guanfacine hydrochloride
35,methyldopa
36,doxazosin mesylate
36,terazosin (hydrochloride dihydrate)
37,triamterene
38,acetazolamide
38,methazolamide
39,retinol
40,isosorbide dinitrate
40,isosorbide mononitrate
41,hydrocortisone
41,dexamethasone
42,alogliptin (benzoate)
42,sitagliptin
42,linagliptin
42,saxagliptin
43,pancuronium (dibromide)
44,verapamil (hydrochloride)
45,amiloride hydrochloride
46,nifedipine
47,glyburide
48,pentoxifylline
49,clonidine hydrochloride
49,clonidine (hydrochloride)
49,prazosin hydrochloride
50,indomethacin
51,bosutinib
52,diclofenac
53,orlistat
54,aminophylline
55,acetylcysteine
56,domperidone
56,trimethobenzamide hydrochloride
56,amisulpride
56,buspirone hydrochloride
57,aspirin
58,mianserin hydrochloride
59,tamoxifen (citrate)
60,alendronate sodium
61,melatonin
62,probenecid
63,olanzapine
64,s-ruxolitinib (incb018424)
64,ruxolitinib (incb018424)
65,diazoxide
66,phenelzine sulfate
67,amantadine hydrochloride
68,phenylephrine hydrochloride
68,silodosin
68,tamsulosin
68,phenylephrine (hydrochloride)
69,omeprazole
69,pantoprazole (sodium)
69,rabeprazole (sodium)
69,lansoprazole
70,mecamylamine hydrochloride
70,varenicline
71,amiodarone hydrochloride
72,dipyridamole
73,genistein
74,riluzole
75,biotin
76,sucrose
77,folic acid
78,duvelisib (ipi-145_ ink1197)
79,benzoic acid
80,apremilast
81,liothyronine (sodium)
81,liothyronine
82,azilsartan
82,azilsartan medoxomil
83,istradefylline
84,progesterone
85,vortioxetine
86,levofloxacin
86,enoxacin
86,moxifloxacin hydrochloride
86,ciprofloxacin
87,dapoxetine (hydrochloride)
88,dextromethorphan hydrobromide
89,iloprost
90,tenofovir alafenamide
91,cefditoren (pivoxil)
92,sulfacetamide
93,cyclosporin a
94,niacinamide
95,chlorpheniramine (maleate)
96,tedizolid
97,paritaprevir
98,artesunate
99,glutamine (d)
100,palmidrol [5mm]
101,clindamycin (hydrochloride)
102,theophylline
103,cefepime (dihydrochloride monohydrate)
104,mefloquine
105,nitisinone
106,bifonazole
107,pyridostigmine bromide
108,emtricitabine
109,lopinavir
110,mesalamine
111,clindamycin hydrochloride
112,cefuroxime axetil
113,flurbiprofen
114,allantoin
115,sertaconazole (nitrate)
116,tazobactam
117,gramicidin (gramicidin a shown)
118,amifampridine
119,osilodrostat
120,tezacaftor
121,dasabuvir
122,cyclizine
123,cefaclor
124,nefopam
125,atracurium besylate
126,rapamycin
127,sodium picosulfate
128,diroximel fumarate
129,ethylenediamine tetracetate tetra-ethanolamine
130,eicosapentaenoic acid
131,natamycin
132,gliclazide
133,voxelotor
134,relugolix
135,fexinidazole
136,ibuprofen
137,cromolyn (sodium)
138,tiopronin
139,deferoxamine mesylate
140,raltegravir
141,torsemide
142,dexamethasone acetate
143,valacyclovir hydrochloride
144,α-vitamin e
145,elvitegravir
146,cefuroxime (sodium)
147,chlorhexidine dihydrochloride
148,etc-1002
149,furazolidone
150,revefenacin
151,ethambutol (dihydrochloride)
152,atazanavir (sulfate)
153,nitazoxanide
154,hydralazine hydrochloride
155,moxidectin
156,ethynyl estradiol
157,(r)-(-)-ibuprofen
158,cinnarizine
159,tramadol hydrochloride
160,cetylpyridinium chloride
161,valacyclovir (hydrochloride)
162,fampridine
163,pregabalin hydrochloride
164,procyclidine hydrochloride
165,allopurinol riboside
166,fusidic acid
167,clofazimine
168,aztreonam
169,d-α-tocopherol acetate
170,pyrantel (tartrate)
171,dicyclomine hydrochloride
172,ethacrynic acid
173,cyclosporine
174,methenamine
175,hydrocortisone hemisuccinate
176,ethionamide
177,metaxalone
178,vitamin k1
179,piperacillin (sodium)
180,tenofovir
181,nicardipine hydrochloride
182,rimantadine hydrochloride
183,ledipasvir
184,mannitol
185,l-cycloserine
186,atovaquone
187,itraconazole hydrochloride
188,lofexidine  hydrochloride
189,tafenoquine (succinate)
190,beclometasone dipropionate
191,sodium salicylate
192,orphenadrine citrate
193,nalidixic acid
194,(+)-camphor
195,sulfamethoxazole
196,uridine triacetate
197,famciclovir
198,capmatinib
199,nitrofurantoin
