 ,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,Vero-E6 Zaliani ,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,,,,Red Flags,,,
Darifenacin (hydrobromide),Urinary antispasmodics,"Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",acetylcholine receptor antagonist,,,,507.472,4.5354,3,1,7,55.56,1,-5.74,0.01,0.6317,,14.06,,,,0,-7.468185967,0,0,Inactive,0,-4.063350921,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.960180621,0,0,Inactive,Inactive,0,-0.606797644,,,,,,0,-31.74358728,,,,,,,98%,13-19 h,15-19%,Eliglustat,Urinary retention; Uncontrolled narrow-angle glaucoma; Severe hepatic impairment; Paralytic ileus; GI or Gu obstruction; Hypersensitivity,Category B3,Use with caution
Alogliptin (Benzoate),Antidiabetic,Protein digestion and absorption,DPP4,dipeptidyl peptidase inhibitor,,,8,461.522,1.77928,8,2,4,134.35,1,-0.02,0.07,,,16.4,,,,0,2.234603,0,0,Inactive,0,-12.51693882,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,,,,,,,,,,,,,,,,20%,21 h,1,None,Hypersensitivity; Stevens-johnson syndrome,Category B3,Use with caution
(S)-Rasagiline,Antiparkinsonian,"Seratonergic synapse, Dopaminergic synapse","BCL2, MAOB",monoamine oxidase inhibitor,,,8.3979,171.243,1.8967,1,1,2,12.03,1,,0,,,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88-94%,3 h,0.36,Apraclonidine; atomoxetine; brimonidine; bupropion; cyproheptadine; desvenlafaxine; deutetrabenazine; dexmethylphenidate; dextroamphetamine; dextromethorphan; ephedrine; fentanyl; fentanyl intranasal; fentanyl transdermal; fentanyl transmucosal; isocarboxazid; levomilnacipran; lisdexamfetamine; meperidine; methadone; methamphetamine; methylphenidate; milnacipran; mirtazapine; ozanimod; phenelzine; phenylephrine PO; procarbazine; pseudoephedrine; safinamide; selegiline; solriamfetol; St John's Wort; tapentadol; tetrabenazine; tramadol; tranylcypromine; vilazodone; vortioxetine,NA,Category B3,Use with caution
Erlotinib (Hydrochloride),Antineoplastic,"MAPK signaling pathway, ErbB signaling pathway","EGFR, NR1I2",EGFR inhibitor,,,10.5228,429.904,3.8269,7,1,10,74.73,0,25.79,-0.22,,,-0.1805,,,,15.84893192,-59.67210683,,,,0,0,,,,,,,,,,,,,,,,0,-11.22576462,,,,,,8.912509381,-99.7611631,,,,,,,93%,36.2 h,60%; With food 100%,Dexlansoprazole; esomeprazole; lansoprazole; omeprazole; pantoprazole; rabeprazole,None,Category C,Not recommended
Anagrelide (hydrochloride),"Thrombocythemia treatment, Platelet aggregation inhibitor",Purine metabolism,PDE3A,phosphodiesterase inhibitor,,,7.086,292.553,2.3481,3,1,0,44.7,0,3.09,-0.03,,,5.284,,,,0,-35.48479791,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.580106196,0,0,Inactive,Inactive,0,1.516937603,,,,,,0,-6.237992323,,,,,,,,1.5-2.5 h,0.7,Goserelin; histrelin; leuprolide; triptorelin,Hepatic imoairement,Category B3,Use with caution
Naloxegol (oxalate),Laxative,Neuroactive ligand-receptor interaction,OPRM1,opioid receptor antagonist,,,,741.828,1.0191,14,4,24,201.37,5,14.12,-0.16,,,13.22,,,,0,10.61971908,0,0,Inactive,0,-0.753420405,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.202832212,0,0,Inactive,Inactive,0,-0.022711248,,,,,,0,2.32226964,,,,,,,~4.2%,6-11 h,,Abametapir; atazanavir; bosentan; carbamazepine; chloramphenicol; clarithromycin; cobicistat; conivaptan; dabrafenib; darunavir; dexamethasone; elvitegravir/cobicistat/emtricitabine/tenofovir DF; enzalutamide; eslicarbazepine acetate; etravirine; fosamprenavir; fosphenytoin; grapefruit; idelalisib; imatinib; indinavir; isoniazid; itraconazole; ketoconazole; lopinavir; mifepristone; mitotane; nafcillin; nefazodone; nelfinavir; nevirapine; nicardipine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; posaconazole; primidone; quinidine; ribociclib; rifabutin; rifampin; rifapentine; ritonavir; saquinavir St John's Wort ;tipranavir,Hypersensitivity; GI obstruction,NA,Not recommended
Naratriptan (hydrochloride),"Antimigraine, Vasoconstrictor,","Neuroactive ligand-receptor interaction, Seratonergic synapse","HTR1A, HTR1B, HTR1D, HTR1E, HTR1F",serotonin receptor agonist,,,,371.934,2.4906,3,2,5,65.2,0,-4.68,0.16,,,3.72,,,,39.81071706,-43.8071261,39.8107,44.6791,Inconclusive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.01036248,0,0,Inactive,Inactive,0,-3.71195786,,,,,,0,-14.89597196,,,,,,,28%-31%,5-8 h,0.74,Almotriptan; bromocriptine; cabergoline; dihydroergotamine; dihydroergotamine intranasal; eletriptan; ergoloid mesylates; ergotamine; frovatriptan; methylergonovine; rizatriptan; sumatriptan; sumatriptan intranasal; zolmitriptan,Hypersensitivity; hepatic or renal impairment; Ischemic heart disease; uncontrolled hyoertention,Category B3,Not recommended
Butenafine (Hydrochloride),Antifungal,Steroid biosynthesis,SQLE,fungal squalene epoxidase inhibitor,,,,353.937,6.1911,1,0,4,3.24,0,-2.45,-0.08,0.4285,,5.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Hypersensitivity,Category C,Use with caution
Cromolyn (sodium),"Antiallergic, Antiasthmatic",NA,,,,,,512.334,-6.5469,11,1,8,179.37,0,1.09,0.02,0.06696,,28.47,,,,0,2.266314145,0,0,Inactive,0,-2.68027481,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.735099977,0,0,Inactive,Inactive,0,-0.658416969,,,,,,0,-28.75961186,,,,,,,,1.3 h,0.01,NA,Hypersensitivity,Category B1,Use with caution
Ropinirole (hydrochloride),Antiparkinsonian,"Neuroactive ligand-receptor interaction, Dopaminergic synapse","ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C",dopamine receptor agonist,,,,296.842,3.2675,2,1,7,32.34,0,0.37,0.2,-0.01531,,-0.3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,6 h,45-55%,None,Hypersensitivity,Category B3,Not recommended
Prucalopride (succinate),Prokinetic,"Serotonergic synapse, Neuroactive ligand-receptor interaction",HTR4,serotonin receptor agonist,,,,485.965,2.0236,7,4,9,151.42,0,,-0.02,,,29.32,,,,0,0.935088864,,,,0,0,,,,,,,,,,,,,,,,0,14.79270845,,,,,,0,-15.17516307,,,,,,,30%,18-20 h,Reaches maximum plasma concentration of 3.79ng/ml with a tmax of 2.77 hours after initial administration,None,Hypersensitivity,Category B1,Not recommended
Pitolisant (hydrochloride),Nootropic,Neuroactive ligand-receptor interaction,HRH3,histamine receptor antagonist,,,,332.315,4.587,2,0,8,12.47,0,-7.2,0.19,,,13.59,,,,7.943282347,-93.81849103,31.6228,76.3846,Inconclusive,0,-66.55218849,0,0,Inactive,Inactive,39.81071706,-17.39072091,39.8107,59.6482,Inconclusive,39.81071706,-11.49372957,39.8107,38.4222,Inconclusive,Cytotoxic,14.12537545,30.5982577,,,,,,0,-2.64570426,,,,,,,91-96%,10-12 h,0.9,None,Hyoersensitivity; Hepatic impairement,NA,Use with caution
Sertaconazole (nitrate),Antifungal,Steroid biosynthesis,,sterol demethylase inhibitor,,,5.075,500.791,6.6684,6,1,6,90.42,1,88.93,-0.15,-0.4284,,7.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>99%,,,NA,Hypersensitivity,NA,Use with caution
Esmolol (hydrochloride),Antiarrhythmic,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes",ADRB1,adrenergic receptor antagonist,,,,331.84,1.9517,5,2,9,67.79,1,-0.79,-0.02,0.0536,,1.827,,,,6.309573445,-18.4583765,6.3096,55.6967,Inconclusive,0,-10.99280407,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-40.76514073,0,0,Inactive,Inactive,0,5.11311629,,,,,,0,-14.14222148,,,,No,,,55%,Distribution half-life: 2 mins; elimination half life: 9 mins,,None,Hypersensitivity; Sinus bradyvadia; Asthma; ,Category C,Not recommended
Sodium Picosulfate,Laxative,NA,,,,,,481.415,-4.0522,9,0,7,145.75,0,0.17,-0.06,,,2.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4 h,,None,Hypersensitivity; renal impairment; GI obstruction; toxic colitis,NA,NA
Valacyclovir (hydrochloride),Antiviral,DNA synthesis/replication,,,,,,360.802,-0.3758,9,3,7,151.14,1,-3.85,0.13,0.01019,,-4.848,,,,39.81071706,-53.01135434,39.8107,66.7301,Inconclusive,0,0.285630528,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.449541765,,,,,,0,-15.30384158,,,,,,,13.5-17.9%,2.5-3.3 h,54.5% ± 9.1%,None,Hypersensitivity,Category B3,Use with caution
Clemastine (fumarate),Antiallergic,"Neuroactive ligand-receptor interaction, Calcium signaling pathway",HRH1,histamine receptor antagonist,,,8.5228,459.97,4.8162,4,2,8,87.07,2,-10.71,0.18,-0.1711,,27.58,,,,10,-67.46410557,10,86.1768,Active,15.84893192,-85.5251403,0,0,Inactive,Inactive,4.466835922,-111.9028805,4.4668,84.5044,Active,22.38721139,-59.42625503,22.3872,53.6275,Inconclusive,Cytotoxic,11.22018454,67.30973208,10,100.279,Active,,,0,-19.10715596,0,0,Inactive,Inactive,,,,,,None,Asthma; hypersensitivity; nursing women,Category A,Use with caution
Phenylephrine (hydrochloride),"Midriatic, Vasoconstrictor,","Neuroactive ligand-receptor interaction, Calcium signaling pathway, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor agonist,0.86,,,203.669,1.0668,3,3,3,52.49,1,-0.74,-0.08,,,28.74,,,,12.58925412,-22.65280341,12.5893,35.5295,Inconclusive,0,-28.79422722,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-33.16950157,0,0,Inactive,Inactive,0,-1.81212656,,,,,,0,-13.80615341,,,,,,,Data regarding the protein binding of phenylephrine in serum is not readily available,Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.,0.38,Iobenguane I 123; isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine,None,Category B2,Use with caution
Allopurinol riboside,Anti-gout,"Purine metabolism, Peroxisome",,"anti-leishmanial agent, phosphorylase inhibitor",,,,268.229,-2.2689,8,4,2,133.49,4,-5.55,0,,,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allopurinol and oxypurinol are only negligibly bound to plasma proteins,"The plasma half-life of allopurinol is 1-2 hours, due to its rapid renal clearance",,None,Hypersensitivity,NA,NA
Bromocriptine (mesylate),Antiparkinsonian,"Neuroactive ligand-receptor interaction, Dopaminergic synapse, Prolactin signaling pathway,","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR6, HTR7",dopamine receptor agonist,,,,750.713,2.6968,8,4,5,172.58,6,,,-0.08637,,,,,,31.6227766,-10.93051803,31.6228,38.9024,Inconclusive,0,-6.078888968,0,0,Inactive,Inactive,28.18382931,-56.97996502,28.1838,116.056,Inconclusive,0,-0.114770419,0,0,Inactive,Inactive,,,,,,,,,,,,,,,,90-96% bound to serum albumin,2-8 hours,0.06,Almotriptan; chloramphenicol; eletriptan; frovatriptan; glyceryl trinitrate pr; lopinavir; naratriptan; nitroglycerin IV; nitroglycerin sublingual; nitroglycerin topical; nitroglycerin transdermal; nitroglycerin translingual; posaconazole; sumatriptan; sumatriptan intranasal; zolmitriptan,Hyoersensitivity; uncontrolled hypertention; hyperprolactinemia; CAD,Category A,Not recommended
Terbinafine hydrochloride,Antifungal,Steroid biosynthesis,SQLE,fungal squalene epoxidase inhibitor,,,,327.899,5.2991,1,0,4,3.24,0,-5.95,0.04,,,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Terbinafine is >99% bound to proteins in plasma, mostly to serum albumin, high and low density lipoproteins, and alpha-1-acid glycoprotein to a lesser extent.","Oral terbinafine has an effective half life of approximately 36 hours. However, the terminal half life ranges from 200-400 hours as it distributes into skin and adipose tissue. 1% topical terbinafine's half life increases over the first seven days from approximately 10-40 hours.",~40%,None,Hypersensitivity; Chronic/active liver disease,Category B1,Not recommended
Cefuroxime axetil,Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,,,510.481,-0.1683,12,2,9,189.06,3,1.31,-0.13,0.1456,,17.81,,,,35.48133892,-20.09463568,35.4813,65.1073,Inconclusive,0,13.50182714,0,0,Inactive,Inactive,0,8.378322507,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,1.377925043,,,,,,0,-9.963139297,,,,,,,50% to serum protein,Approximately 80 minutes following intramuscular or intravenous injection.,"37%
 52% (fed conditions)",NA,NA,Category B1,Use with caution
GLICLAZIDE,Antidiabetic,"ABC transporters, Insulin secretion",,"ATP channel blocker, insulin secretagogue",,,6.22,323.418,1.62982,4,2,3,78.51,2,,,0.09396,0.08068,,,,,0,9.976098663,0,0,Inactive,0,-57.82743515,0,0,Inactive,Inactive,0,-24.36339043,0,0,Inactive,0,-90.60360853,0,0,Inactive,Inactive,0,-1.751943978,,,,,,0,18.02008076,,,,,,,"94%, highly bound to plasma proteins",16.40 hours,97%,NA,NA,Category C,Not recommended
TRICLABENDAZOLE,Anthelmintic,NA,DNMT1,microtubule inhibitor,,,,359.665,6.0373,3,1,3,37.91,0,-0.51,1.38,0.1948,0.18,20.44,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.652468653,,,,,,0,-13.93024781,,,,,,,,"The plasma elimination half-life (t1/2) of triclabendazole, the sulfoxide and sulfone metabolites in human is about 8, 14, and 11 hours, respectively.[FDA label]",,None,Hypersensitivity,NA,No sufficient information is available
CARBIMAZOLE,Antithyroid,Thyroid hormone synthesis,TPO,,,,,186.236,1.56069,5,0,1,36.16,0,1.57,0.05,0.0747,0.2511,5.31,,,,0,-5.466777154,0,0,Inactive,0,10.58178326,0,0,Inactive,Inactive,0,-8.356233011,0,0,Inactive,0,-2.460415392,0,0,Inactive,Inactive,0,8.449704386,,,,,,0,-11.21320167,,,,,,,,,0%,NA,NA,Category C,Not recommended
MECAMYLAMINE HYDROCHLORIDE,Antihypertensive,"Neuroactive ligand-receptor interaction, Cholinergic synapse","CHRNA1, CHRNA2, CHRNA3, CHRNA4, CHRNA6, CHRNA7, CHRNB4",acetylcholine receptor antagonist,,,7,203.757,2.8424,1,1,1,12.03,3,,0.56,,0.1041,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40%,,99%,None,Hypersensitivity; coronary insufficiency; glaucoma; uremia,Category C,Use with caution
BUSPIRONE HYDROCHLORIDE,Anxiolytic,"Neuroactive ligand-receptor interaction, Serotonergic synapse, Dopaminergic synapse","DRD2, HTR1A",serotonin receptor agonist,,,7.602,421.973,2.51,6,0,6,69.64,0,,,,0.1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In a single-dose pharmacokinetic study of 14C-labeled buspirone, the average elimination half-life of unchanged buspirone following administration of single doses ranging from 10 to 40 mg was about 2 to 3 hours.[L4478]",3.90%,Isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine,Hypersensitivity,Category B1,Not recommended
RIMANTADINE HYDROCHLORIDE,Antiviral,NA,,RNA synthesis inhibitor,,,,215.768,2.9718,1,1,1,26.02,5,,0.05,,0.1024,10.22,,,,35.48133892,-35.52676798,35.4813,80.1774,Inconclusive,0,10.80259426,0,0,Inactive,Inactive,0,-51.88516128,0,0,Inactive,0,-69.13201711,0,0,Inactive,Inactive,0,0.70849444,,,,,,0,-18.83233405,,,,,,,Approximately 40% over typical plasma concentrations.,25 to 30 hours in young adults (22 to 44 years old). Approximately 32 hours in elderly (71 to 79 years old) and in patients with chronic liver disease. Approximately 13 to 38 hours in children (4 to 8 years old).,,None,Hypersensitivity,Category C,Not recommended
