Name,Pathway
bifonazole,steroid biosynthesis
enoxacin,dna synthesis/replication
cabergoline,neuroactive ligand-receptor interaction
acrivastine,neuroactive ligand-receptor interaction
silodosin,cgmp-pkg signaling pathway
lumacaftor,abc transporters
rufinamide,dopaminergic synapse
parecoxib,arachidonic acid metabolism
saxagliptin,protein digestion and absorption
bosutinib,erbb signaling pathway
selexipag,neuroactive ligand-receptor interaction
cinacalcet,nod-like receptor signaling pathway
alendronate sodium,terpenoid backbone biosynthesis
rizatriptan benzoate,neuroactive ligand-receptor interaction
donepezil hydrochloride,glycerophospholipid metabolism
zolmitriptan,neuroactive ligand-receptor interaction
mebeverine hydrochloride,calcium signaling pathway
sumatriptan,neuroactive ligand-receptor interaction
fexofenadine hydrochloride,neuroactive ligand-receptor interaction
lofexidine  hydrochloride,neuroactive ligand-receptor interaction
alfuzosin hydrochloride,cgmp-pkg signaling pathway
famciclovir,dna synthesis/replication
almotriptan,neuroactive ligand-receptor interaction
valacyclovir hydrochloride,dna synthesis/replication
antazoline,calcium signaling pathway
capsaicin,neuroactive ligand-receptor interaction
cyclizine,neuroactive ligand-receptor interaction
procyclidine hydrochloride,neuroactive ligand-receptor interaction
guanethidine,synaptic vesicle cycle
gemfibrozil,ppar signaling pathway
sulfacetamide,folate biosynthesis
dextromethorphan hydrobromide,neuroactive ligand-receptor interaction
clidinium bromide,neuroactive ligand-receptor interaction
metaproterenol,calcium signaling pathway
orphenadrine citrate,calcium signaling pathway
ondansetron,serotonergic synapse
l-cycloserine,d-alanine metabolism
galanthamine,glycerophospholipid metabolism
levetiracetam,ecm-receptor interaction
voriconazole,steroid biosynthesis
deflazacort,neuroactive ligand-receptor interaction
orlistat,glycerolipid metabolism
hydroxyzine pamoate,calcium signaling pathway
diazoxide,insulin secretion
cefaclor,peptidoglycan biosynthesis
methazolamide,proximal tubule bicarbonate reclamation
aztreonam,peptidoglycan biosynthesis
nizatidine,calcium signaling pathway
repaglinide,abc transporters
flunisolide,neuroactive ligand-receptor interaction
cimetidine,calcium signaling pathway
belumosudil,chemokine signaling pathway
tepotinib (emd 1214063),ras signaling pathway
telotristat,tryptophan metabolism
umbralisib,inositol phosphate metabolism
zileuton,arachidonic acid metabolism
dydrogesterone,oocyte meiosis
tolterodine (tartrate),neuroactive ligand-receptor interaction
telotristat etiprate,seratonergic synapse
pergolide (mesylate),dopaminergic synapse
eletriptan (hydrobromide),seratonergic synapse
darifenacin (hydrobromide),cholinergic synapse
(s)-rasagiline,dopaminergic synapse
erlotinib (hydrochloride),erbb signaling pathway
naratriptan (hydrochloride),seratonergic synapse
ropinirole (hydrochloride),dopaminergic synapse
prucalopride (succinate),neuroactive ligand-receptor interaction
esmolol (hydrochloride),adrenergic signaling in cardiomyocytes
clemastine (fumarate),calcium signaling pathway
phenylephrine (hydrochloride),calcium signaling pathway
allopurinol riboside,peroxisome
bromocriptine (mesylate),dopaminergic synapse
gliclazide,insulin secretion
mecamylamine hydrochloride,cholinergic synapse
buspirone hydrochloride,serotonergic synapse
glipizide,insulin secretion
xylometazoline hydrochloride,vascular smooth muscle contraction
meclizine hydrochloride,inflammatory mediator regulation of trp channels
cycloserine (d),d-alanine metabolism
carteolol hydrochloride,cgmp-pkg signaling pathway
dicyclomine hydrochloride,neuroactive ligand-receptor interaction
dimenhydrinate,neuroactive ligand-receptor interaction
tetrahydrozoline hydrochloride,vascular smooth muscle contraction
propantheline bromide,camp signaling pathway
glyburide,insulin secretion
allopurinol,peroxisome
phenylephrine hydrochloride,neuroactive ligand-receptor interaction
pyrimethamine,folate biosynthesis
bethanechol chloride,cholinergic synapse
papaverine hydrochloride,cgmp-pkg signaling pathway
oxymetazoline hydrochloride,vascular smooth muscle contraction
chlorpropamide,insulin secretion
tolbutamide,insulin secretion
tolazamide,insulin secretion
clofibrate,adipocytokine signaling pathway
neostigmine bromide,cholinergic synapse
phentolamine hydrochloride,adrenergic signaling in cardiomyocytes
doxylamine succinate,inflammatory mediator regulation of trp channels
mepenzolate bromide,neuroactive ligand-receptor interaction
gefitinib (zd1839),erbb signaling pathway
rucaparib (ag-014699 or pf-01367338) phosphate,necroptosis
moxonidine,neuroactive ligand-receptor interaction
capmatinib,pi3k-akt signaling pathway
cinnarizine,neuroactive ligand-receptor interaction
treprostinil,vascular smooth muscle contraction
amisulpride,dopaminergic synapse
agomelatine,circadian entrainment
nitisinone,tyrosine metabolism
moclobemide,dopaminergic synapse
safinamide,dopaminergic synapse
tasimelteon,circadian entrainment
revefenacin,cholinergic synapse
riluzole,glutamatergic synapse
tamsulosin,neuroactive ligand-receptor interaction
relugolix,gnrh signaling pathway
osilodrostat,aldosterone synthesis and secretion
epinastine,inflammatory mediator regulation of trp channels
varenicline,cholinergic synapse
domperidone,dopaminergic synapse
pilocarpine nitrate,cholinergic synapse
betahistine hydrochloride,neuroactive ligand-receptor interaction
cabergoline,dopaminergic synapse
acrivastine,inflammatory mediator regulation of trp channels
silodosin,neuroactive ligand-receptor interaction
lumacaftor,gastric acid secretion
selexipag,vascular smooth muscle contraction
cinacalcet,parathyroid hormone synthesis
rizatriptan benzoate,serotonergic synapse
donepezil hydrochloride,cholinergic synapse
zolmitriptan,seratonergic synapse
mebeverine hydrochloride,camp signaling pathway
sumatriptan,serotonergic synapse
fexofenadine hydrochloride, inflammatory mediator regulation of trp channels
alfuzosin hydrochloride,neuroactive ligand-receptor interaction
almotriptan,seratonergic synapse
antazoline,neuroactive ligand-receptor interaction
cyclizine,inflammatory mediator regulation of trp channels
procyclidine hydrochloride,cholinergic synapse
gemfibrozil,adipocytokine signaling pathway
dextromethorphan hydrobromide,glutamatergic synapse
clidinium bromide,cholinergic synapse
metaproterenol,camp signaling pathway
orphenadrine citrate,neuroactive ligand-receptor interaction
l-cycloserine,peptidoglycan biosynthesis
galanthamine,cholinergic synapse
orlistat,pancreatic secretion
hydroxyzine pamoate,neuroactive ligand-receptor interaction
nizatidine,neuroactive ligand-receptor interaction
repaglinide,insulin secretion
cimetidine,neuroactive ligand-receptor interaction
tepotinib (emd 1214063),pi3k-akt signaling pathway
telotristat,serotonergic synapse
umbralisib,chemokine signaling pathway
dydrogesterone,progesterone-mediated oocyte maturation
tolterodine (tartrate),cholinergic synapse
phenylephrine (hydrochloride),adrenergic signaling in cardiomyocytes
bromocriptine (mesylate),prolactin signaling pathway
buspirone hydrochloride,dopaminergic synapse
carteolol hydrochloride,neuroactive ligand-receptor interaction
dicyclomine hydrochloride,cholinergic synapse
propantheline bromide,neuroactive ligand-receptor interaction
phenylephrine hydrochloride,adrenergic signaling in cardiomyocytes
bethanechol chloride,gastric acid secretion
papaverine hydrochloride,camp signaling pathway
phentolamine hydrochloride,vascular smooth muscle contraction
mepenzolate bromide,cholinergic synapse
rucaparib (ag-014699 or pf-01367338) phosphate,base excision repair
treprostinil,platelet activation
agomelatine,serotonergic synapse
nitisinone,phenylalanine metabolism
moclobemide,tryptophan metabolism
riluzole,dopaminergic synapse
tamsulosin,vascular smooth muscle contraction
pilocarpine nitrate,salivary secretion
cabergoline,prolactin signaling pathway
silodosin,vascular smooth muscle contraction
lumacaftor,pancreatic secretion
selexipag,platelet activation
cinacalcet,secretion and action
mebeverine hydrochloride,neuroactive ligand-receptor interaction
alfuzosin hydrochloride,vascular smooth muscle contraction
clidinium bromide,gastric acid secretion
metaproterenol,neuroactive ligand-receptor interaction
orphenadrine citrate,glutamatergic synapse
orlistat,fat digestion and absorption
nizatidine,gastric acid secretion
cimetidine,gastric acid secretion
umbralisib,foxo signaling pathway
dydrogesterone,estrogen signaling pathway
phenylephrine (hydrochloride),vascular smooth muscle contraction
carteolol hydrochloride,adrenergic signaling in cardiomyocytes
dicyclomine hydrochloride,camp signaling pathway
propantheline bromide,cholinergic synapse
phenylephrine hydrochloride,vascular smooth muscle contraction
mepenzolate bromide,gastric acid secretion
moclobemide,phenylalanine metabolism
lumacaftor,bile secretion
mebeverine hydrochloride,cholinergic synapse
umbralisib,phosphatidylinositol signaling system
carteolol hydrochloride,camp signaling pathway
propantheline bromide,gastric acid secretion
moclobemide,tyrosine metabolism
umbralisib,pi3k-akt signaling pathway
umbralisib,wnt signaling pathway
umbralisib,hedgehog signaling pathway
umbralisib,b cell receptor signaling pathway
