Name,Indication
nalidixic acid,antibacterial
clofibrate,antihyperlipidemic
neostigmine bromide,parasympathomimetic
methocarbamol,skeletal muscle relaxant
acetazolamide,antiglaucoma
sulfadiazine,antibacterial
phentolamine hydrochloride,vasodilator
doxylamine succinate,antiallergic
mepenzolate bromide,antispasmodic
mepenzolate bromide,antiulcerative
gefitinib (zd1839),antineoplastic
rucaparib (ag-014699 or pf-01367338) phosphate,antineoplastic
etc-1002,antidyslipidemia
nifurtimox,antiprotozoal
rimegepant,antimigraine
moxonidine,antihypertensive
lubiprostone,peristaltic accelerator
lubiprostone,softener
capmatinib,antineoplastic
cinnarizine,anti-emetic
cinnarizine,antivertigo
tedizolid,antibacterial
treprostinil,anticoagulant
treprostinil,antihypertensive
treprostinil,vasodilator
amisulpride,antipsychotic
agomelatine,antidepressant
nitisinone,antityrosinemia
etoricoxib,nsaids
moclobemide,antidepressant
safinamide,antiparkinsonian
tasimelteon,hypnotic
voxelotor,antianemic
istradefylline,antiparkinsonian
amifampridine,autoimmune disease treatment
revefenacin,antiasthmatic
tezacaftor,cftr modulator
lemborexant,hypnotic
riluzole,nerve cells protectant
tamsulosin,antidysuria
relugolix,antineoplastic
relugolix,antiendometriosis
paritaprevir,antiviral
venetoclax,antineoplastic
osilodrostat,antihypertensive
uridine triacetate,antidote (5-fluorouracil
uridine triacetate,capecitabine)
epinastine,antiallergic
varenicline,smoking cessation adjunct
ranolazine,vasodilator
domperidone,antiemetic
domperidone,prokinetic
pilocarpine nitrate,miotic
trimethobenzamide hydrochloride,antiemetic
benzoic acid,antifungal
benzoic acid,antiseptic
urea,diuretic
urea,emollient
urea,keratolytic
miconazole nitrate,antifungal
tiopronin,antidote (mercury)
mianserin hydrochloride,antidepressant
betahistine hydrochloride,antivertigo
betahistine hydrochloride,vasodilator
bifonazole,antifungal
enoxacin,antibacterial
rilpivirine,antihiv
cabergoline,antiparkinsonian
cabergoline,antidyskinetic
acrivastine,antiallergic
elvitegravir,antihiv
dasabuvir,antiviral
silodosin,antidysuria
lumacaftor,cftr corrector
stiripentol,anticonvulsant
pretomanid,antibacterial (tuberculostatic)
rufinamide,anticonvulsant
(+)-camphor,analgesic
(+)-camphor,antiinflammatory
(+)-camphor,antipruritic
parecoxib,nsaids
saxagliptin,antidiabetic
bosutinib,antineoplastic
selexipag,antihypertensive
selexipag,vasodilator
cinacalcet,antihypercalcemia
cinacalcet,antihyperparathyroidism
guaiacol,analgesic
guaiacol,disinfectant
alendronate sodium,osteoporosis agent
alendronate sodium,antiresorptive
rizatriptan benzoate,antimigraine
rizatriptan benzoate,vasoconstrictor
metaxalone,skeletal muscle relaxant
donepezil hydrochloride,antialzheimer's
fampridine,multiple sclerosis agent
cysteamine hydrochloride,antiurolithic (cysteine calculi)
zolmitriptan,antimigraine
zolmitriptan,vasoconstrictor
fusidic acid,antibacterial
mebeverine hydrochloride,antispasmodic
mebeverine hydrochloride,smooth muscle relaxant
sumatriptan,antimigraine
sumatriptan,vasoconstrictor
fexofenadine hydrochloride,antiallergic
lofexidine  hydrochloride,antihypertensive
alfuzosin hydrochloride,antidysuria
alfuzosin hydrochloride,antihypertensive
famciclovir,antiviral
nefopam,analgesic
almotriptan,antimigraine
valacyclovir hydrochloride,antiviral
gramicidin ,antibacterial
eugenol,analgesic (dental)
eugenol,disinfectant
antazoline,antiallergic
capsaicin,analgesic (topical)
hexylresorcinol,anthelmintic
hexylresorcinol,antiseptic
cyclizine,anti-emetic
procyclidine hydrochloride,antiparkinsonian
procyclidine hydrochloride,skeletal muscle relaxant
mesalamine,anti-inflammatory
guanethidine,antihypertensive
gemfibrozil,antihyperlipidemic
sulfacetamide,antibacterial
benzonatate,antitussive
dextromethorphan hydrobromide,antitussive
clidinium bromide,anti-ulcerative
gluconolactone,chelating agent
metaproterenol,bronchodilator
methenamine,antibacterial
methenamine,antiseptic
orphenadrine citrate,skeletal muscle relaxant
mannitol,diuretic
mannitol,diagnostic aid (renal function determination)
mannitol,antihypertensive
ondansetron,antiemetic
inosine,immunostimulant
carglumic acid,antihyperammonemic
l-cycloserine,antibacterial (tuberculostatic)
galanthamine,antialzheimer's
levetiracetam,anticonvulsant
voriconazole,antifungal
isosorbide mononitrate,vasodilator (coronary)
deflazacort,anti-inflammatory
orlistat,antiobesity
moxidectin,antiparasitic
hydroxyzine pamoate,anxiolytic
diazoxide,antihypoglycemia
cefaclor,antibacterial
methazolamide,antiglaucoma
natamycin,antifungal
natamycin,antibacterial
aztreonam,antibacterial
nizatidine,antiulcerative
mebendazole,anthelmintic
nitrofurantoin,antibacterial
repaglinide,antidiabetic
flunisolide,antiinflammatory
isosorbide dinitrate,vasodilator (coronary)
cimetidine,antiulcerative
furazolidone,antibacterial
furazolidone,antiprotozoal
belumosudil,autoimmune disease treatment
tepotinib (emd 1214063),antineoplastic
telotristat,antidiarrheal
fexinidazole,antiparasitic
umbralisib,antineoplastic
zileuton,antiasthmatic
dydrogesterone,menstruation disorder agent
