,node-value,cluster-label,drug
147,147,12,pilocarpine nitrate
209,209,12,xylometazoline hydrochloride
202,202,12,uridine triacetate
164,164,12,riluzole
162,162,12,revefenacin
184,184,12,tasimelteon
159,159,12,ranolazine
205,205,12,varenicline
158,158,12,pyrimethamine
186,186,12,telotristat
155,155,12,prucalopride (succinate)
187,187,12,telotristat etiprate
208,208,12,voxelotor
201,201,12,urea
149,149,12,praziquantel
148,148,12,pitolisant (hydrochloride)
190,190,12,tetrahydrozoline hydrochloride
144,144,12,phentolamine hydrochloride
191,191,12,tezacaftor
170,170,12,rufinamide
175,175,12,silodosin
105,105,12,lumacaftor
124,124,12,naloxegol (oxalate)
117,117,12,methocarbamol
114,114,12,metaxalone
113,113,12,metaproterenol
102,102,12,levetiracetam
104,104,12,lubiprostone
125,125,12,naphazoline hydrochloride
210,210,12,zileuton
34,34,13,carteolol hydrochloride
18,18,13,belumosudil
15,15,13,anagrelide (hydrochloride)
13,13,13,amifampridine
10,10,13,allopurinol riboside
9,9,13,allopurinol
7,7,13,alfuzosin hydrochloride
6,6,13,alendronate sodium
2,2,13,acetazolamide
14,14,13,amisulpride
151,151,13,probenecid
0,0,13,(+)-camphor
115,115,13,methazolamide
67,67,14,erlotinib (hydrochloride)
188,188,14,tepotinib (emd 1214063)
30,30,14,capmatinib
200,200,14,umbralisib
206,206,14,venetoclax
83,83,14,gefitinib (zd1839)
25,25,14,bosutinib
169,169,14,rucaparib (ag-014699 or pf-01367338) phosphate
160,160,14,relugolix
57,57,15,dicyclomine hydrochloride
108,108,15,mebeverine hydrochloride
111,111,15,mepenzolate bromide
140,140,15,papaverine hydrochloride
154,154,15,propantheline bromide
71,71,16,ethambutol hydrochloride
100,100,16,l-cycloserine
157,157,16,pyrazinamide
48,48,16,cycloserine (d)
150,150,16,pretomanid
70,70,16,ethambutol (dihydrochloride)
72,72,16,ethionamide
60,60,17,donepezil hydrochloride
82,82,17,galanthamine
62,62,17,dydrogesterone
33,33,18,carglumic acid
112,112,18,mesalamine
19,19,18,benoxinate hydrochloride
22,22,18,betahistine hydrochloride
23,23,18,bethanechol chloride
118,118,18,mianserin hydrochloride
5,5,18,agomelatine
31,31,18,capsaicin
32,32,18,carbimazole
120,120,18,moclobemide
39,39,18,chlorzoxazone
47,47,18,cyclizine
51,51,18,darifenacin (hydrobromide)
56,56,18,diazoxide
40,40,18,cimetidine
53,53,18,deflazacort
69,69,18,etc-1002
50,50,18,dapoxetine (hydrochloride)
68,68,18,esmolol (hydrochloride)
49,49,18,cysteamine hydrochloride
44,44,18,clidinium bromide
42,42,18,cinnarizine
41,41,18,cinacalcet
96,96,19,inosine
90,90,19,guaiacol
87,87,19,gluconolactone
163,163,19,rilpivirine
91,91,19,guaifenesin
98,98,19,isosorbide mononitrate
55,55,19,dextromethorphan hydrobromide
97,97,19,isosorbide dinitrate
101,101,19,lemborexant
54,54,19,delavirdine (mesylate)
21,21,19,benzonatate
27,27,19,buspirone hydrochloride
95,95,19,indinavir (sulfate)
64,64,19,elvitegravir
94,94,19,hydroxyzine pamoate
