drug,interaction
Phenylephrine (hydrochloride),Iobenguane I 123; isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine
Allopurinol riboside,None
Bromocriptine (mesylate),Almotriptan; chloramphenicol; eletriptan; frovatriptan; glyceryl trinitrate pr; lopinavir; naratriptan; nitroglycerin IV; nitroglycerin sublingual; nitroglycerin topical; nitroglycerin transdermal; nitroglycerin translingual; posaconazole; sumatriptan; sumatriptan intranasal; zolmitriptan
Terbinafine hydrochloride,None
Cefuroxime axetil,NA
GLICLAZIDE,NA
TRICLABENDAZOLE,None
CARBIMAZOLE,NA
MECAMYLAMINE HYDROCHLORIDE,None
BUSPIRONE HYDROCHLORIDE,Isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine
RIMANTADINE HYDROCHLORIDE,None
GLIPIZIDE,None
XYLOMETAZOLINE HYDROCHLORIDE,Isocarboxazid; linezolid; phenelzine; selegiline transdermal; tranylcypromine
MECLIZINE HYDROCHLORIDE,NA
CYCLOSERINE (D),NA
CARTEOLOL HYDROCHLORIDE,NA
DICYCLOMINE HYDROCHLORIDE,None
DIMENHYDRINATE,None
ACYCLOVIR,None
TETRAHYDROZOLINE HYDROCHLORIDE,None
PROPANTHELINE BROMIDE,None
ETHIONAMIDE,None
GLYBURIDE,Bosentan
CHLORZOXAZONE,None
ALLOPURINOL,None
PHENYLEPHRINE HYDROCHLORIDE,Iobenguane I 123; isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine
ETHAMBUTOL HYDROCHLORIDE,None
PYRIMETHAMINE,Eliglustat
PRAZIQUANTEL,Bosentan; carbamazepine; dabrafenib; dexamethasone; efavirenz; enzalutamide; eslicarbazepine acetate; etravirine; fosphenytoin; mitotane; nafcillin; nevirapine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; primidone; rifabutin; rifampin; rifapentine
GUAIFENESIN,None
SULFAMETHIZOLE,NA
ALLANTOIN,NA
BETHANECHOL CHLORIDE,None
PAPAVERINE HYDROCHLORIDE,None
OXYMETAZOLINE HYDROCHLORIDE,None
PROBUCOL,NA
CHLORPROPAMIDE,Dronabinol
PYRAZINAMIDE,None
BENOXINATE HYDROCHLORIDE,None
PROBENECID,None
TOLBUTAMIDE,None
NAPHAZOLINE HYDROCHLORIDE,None
TOLAZAMIDE,None
NALIDIXIC ACID,NA
CLOFIBRATE,NA
NEOSTIGMINE BROMIDE,None
METHOCARBAMOL,None
ACETAZOLAMIDE,None
SULFADIAZINE,None
PHENTOLAMINE HYDROCHLORIDE,None
DOXYLAMINE SUCCINATE,None
MEPENZOLATE BROMIDE,NA
Gefitinib (ZD1839),None
Rucaparib (AG-014699 or PF-01367338) phosphate,Finerenone; isavuconazonium sulfate; lonafarnib; voclosporin
ETC-1002,NA
Nifurtimox,None
Rimegepant,None
Moxonidine,NA
Lubiprostone,None
Capmatinib,None
Cinnarizine,NA
Tedizolid,Cyproheptadiene
Treprostinil,None
Amisulpride,None
Agomelatine,NA
Nitisinone,NA
Etoricoxib,NA
Moclobemide,NA
Safinamide,Amitriptyline; amoxapine; amphetamine polistirex; clomipramine; cyclobenzaprine; cyproheptadine; desipramine; desvenlafaxine; deutetrabenazine; dexmethylphenidate; dextroamphetamine; dextromethorphan; diethylpropion; doxepin; duloxetine; fentanyl; fentanyl intranasal; fentanyl transdermal; fentanyl transmucosal; imipramine; isocarboxazid; levomilnacipran; linezolid; lisdexamfetamine; maprotiline; meperidine; methadone; methamphetamine; methylphenidate; milnacipran; morphine; nefazodone; nortriptyline; ozanimod; phendimetrazine; phenelzine; protriptyline; rasagiline; selegiline; selegiline transdermal; solriamfetol; St John's Wort; tapentadol; tramadol; tranylcypromine; trazodone; trimipramine; venlafaxine
Tasimelteon,None
Voxelotor,lonafarnib
Istradefylline,None
Amifampridine,None
Revefenacin,None
Tezacaftor,lonafarnib
Lemborexant,None
Riluzole,None
Tamsulosin,Ombitasvir/paritaprevir/ritonavir & dasabuvir
Relugolix,None
Paritaprevir,NA
Venetoclax,"Atazanavir
Clarithromycin
Cobicistat
Conivaptan
Darunavir
Fosamprenavir
Grapefruit
Idelalisib
Imatinib
Indinavir
Isoniazid
Itraconazole
Ketoconazole
Lopinavir
Nefazodone
Nelfinavir
Nicardipine
Posaconazole
Ritonavir
Saquinavir
Tipranavir
Voriconazole
"
Osilodrostat,Lefamulin
Uridine triacetate,NA
Epinastine,NA
Varenicline,None
RANOLAZINE,"Ceritinib
Cobicistat
Darunavir
Efavirenz
Eliglustat
Itraconazole
Ketoconazole
Lefamulin
Ribociclib
"
DOMPERIDONE,NA
PILOCARPINE NITRATE,None
TRIMETHOBENZAMIDE HYDROCHLORIDE,None
BENZOIC ACID,NA
UREA,None
MICONAZOLE NITRATE,NA
TIOPRONIN,None
MIANSERIN HYDROCHLORIDE,NA
BETAHISTINE HYDROCHLORIDE,NA
BIFONAZOLE,NA
ENOXACIN,NA
Rilpivirine,Carbamazepine; dexamethasone; dexlansoprazole; efavirenz;elvitegravir/cobicistat/emtricitabine/tenofovir DF; eslicarbazepine acetate; esomeprazole; etravirine; fosphenytoin; lansoprazole; nevirapine; omeprazole; oxcarbazepine; pantoprazole; phenobarbital; phenytoin; rabeprazole; rifampin; rifapentine; St John's Wort
Cabergoline,"almotriptan
eletriptan
frovatriptan
glyceryl trinitrate pr
naratriptan
nitroglycerin IV
nitroglycerin sublingual
nitroglycerin topical
nitroglycerin transdermal
nitroglycerin translingual
rizatriptan
sumatriptan
sumatriptan intranasal
zolmitriptan"
Acrivastine,Dihydroergotamine; dihydroergotamine inhaled; dihydroergotamine intranasal; ergoloid mesylates; ergonovine; ergotamine; isocarboxazid; linezolid; methylergonovine; phenelzine; procarbazine; rasagiline; selegiline; selegiline transdermal; tranylcypromine
Elvitegravir,NA
Dasabuvir,NA
Silodosin,"itraconazole
ombitasvir/paritaprevir/ritonavir & dasabuvir"
Lumacaftor,Bosentan; carbamazepine; cariprazine; cobimetinib; dabrafenib; dexamethasone; doravirine; efavirenz; elbasvir/grazoprevir; enzalutamide; eslicarbazepine acetate; etravirine; fosphenytoin; fostemsavir; isavuconazonium sulfate; lonafarnib; lorlatinib; mitotane; nafcillin; nevirapine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; primidone; rifabutin; rifampin; rifapentine; St John's Wort
Stiripentol,Finerenone; idelalisib; isavuconazonium sulfate; lonafarnib; voclosporin
Pretomanid,None
Rufinamide,None
(+)-Camphor,Artemether/lumefantrine; cariprazine; cobimetinib; dienogest/estradiol valerate; doravirine; elbasvir/grazoprevir; elvitegravir/cobicistat/emtricitabine/tenofovir DF; lonafarnib; lumacaftor/ivacaftor; lumefantrine; lurasidone; naloxegol; ombitasvir/paritaprevir/ritonavir & dasabuvir; oxcarbazepine; panobinostat; praziquantel; regorafenib; rilpivirine; roflumilast; vandetanib
Parecoxib,NA
Saxagliptin,None
Bosutinib,lefamulin
Selexipag,Gemfibrozil
Cinacalcet,Eliglustat; etelcalcetide
GUAIACOL,NA
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,NA
ALENDRONATE SODIUM,"Human parathyroid hormone, recombinant"
RIZATRIPTAN BENZOATE,"almotriptan
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
sumatriptan
sumatriptan intranasal
zolmitriptan"
METAXALONE,None
DONEPEZIL HYDROCHLORIDE,None
FAMPRIDINE,NA
CYSTEAMINE HYDROCHLORIDE,NA
ZOLMITRIPTAN,"almotriptan
bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
sumatriptan
sumatriptan intranasal"
FUSIDIC ACID,NA
MEBEVERINE HYDROCHLORIDE,NA
SUMATRIPTAN,"almotriptan
bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
zolmitriptan"
FEXOFENADINE HYDROCHLORIDE,None
LOFEXIDINE  HYDROCHLORIDE,None
ALFUZOSIN HYDROCHLORIDE,"atazanavir
ceritinib
chloramphenicol
cisapride
clarithromycin
cobicistat
darunavir
dronedarone
elvitegravir/cobicistat/emtricitabine/tenofovir DF
fluconazole
fosamprenavir
idelalisib
indinavir
itraconazole
ketoconazole
lefamulin
lopinavir
mifepristone
nefazodone
nelfinavir
ombitasvir/paritaprevir/ritonavir & dasabuvir
posaconazole
ritonavir
saquinavir
thioridazine
tipranavir
voriconazole"
FAMCICLOVIR,Varicella virus vaccine live; zoster vaccine live
NEFOPAM,NA
ALMOTRIPTAN,"bromocriptine
cabergoline
dihydroergotamine
dihydroergotamine intranasal
eletriptan
ergoloid mesylates
ergotamine
frovatriptan
methylergonovine
naratriptan
procarbazine
rizatriptan
sumatriptan
sumatriptan intranasal
zolmitriptan"
VALACYCLOVIR HYDROCHLORIDE,None
GRAMICIDIN (gramicidin A shown),NA
EUGENOL,NA
ANTAZOLINE,NA
CAPSAICIN,None
HEXYLRESORCINOL,NA
CYCLIZINE,None
PROCYCLIDINE HYDROCHLORIDE,NA
MESALAMINE,None
GUANETHIDINE,NA
GEMFIBROZIL,Atorvastatin; elagolix; enzalutamide; fluvastatin; ombitasvir/paritaprevir/ritonavir & dasabuvir; pitavastatin; pravastatin; repaglinide; rosuvastatin; selexipag; simvastatin
SULFACETAMIDE,NA
BENZONATATE,NA
DEXTROMETHORPHAN HYDROBROMIDE,Isocarboxazid; phenelzine; procarbazine; rasagiline; safinamide; selegiline; tranylcypromine
CLIDINIUM BROMIDE,None
GLUCONOLACTONE,NA
METAPROTERENOL,NA
METHENAMINE,NA
ORPHENADRINE CITRATE,NA
Uridine,NA
MANNITOL,NA
Ondansetron,Apomorphine; dronedarone; lefamulin; posaconazole
Inosine,NA
Carglumic Acid,NA
L-Cycloserine,NA
Galanthamine,NA
Levetiracetam,None
Voriconazole,Alfuzosin; carbamazepine; chloroquine; cobimetinib; conivaptan; dihydroergotamine; dihydroergotamine intranasal; efavirenz; eliglustat; ergoloid mesylates; ergonovine; ergotamine; finerenone; flibanserin; isavuconazonium sulfate; ivabradine; lefamulin; lomitapide; lonafarnib; lovastatin; lurasidone; methylergonovine; mirtazapine; naloxegol; phenobarbital; pimozide; quinidine; regorafenib; rifabutin; rifampin; ritonavir;sirolimus; St John's Wort; venetoclax; voclosporin
Isosorbide mononitrate,Avanafil; riociguat; sildenafil; tadalafil; vardenafil
Deflazacort,mifepristone
Orlistat,None
Moxidectin,NA
HYDROXYZINE PAMOATE,NA
Diazoxide,NA
Cefaclor,None
Methazolamide,None
Natamycin,NA
Aztreonam,None
Nizatidine,None
Mebendazole,None
Nitrofurantoin,None
Repaglinide,gemfibrozil
Flunisolide,NA
Isosorbide dinitrate,"avanafil
riociguat
sildenafil
tadalafil
vardenafil"
Cimetidine,Dofetilide; eliglustat; lomitapide; pimozide
Furazolidone,NA
Belumosudil,NA
Tepotinib (EMD 1214063),NA
Telotristat,"doravirine
lonafarnib"
Fexinidazole,lonafarnib
Umbralisib,NA
ZILEUTON,flibanserin
Dydrogesterone,NA
