Name,Pathway
Ledipasvir,NA
Edoxaban,Complement and coagulation cascades
Eplerenone,Aldosterone-regulated sodium reabsorption
Linagliptin,Protein digestion and absorption
Ticagrelor,Platelet activation
Ropivacaine,Dopaminergic synapse
Raltegravir,NA
Etravirine,NA
Salmeterol,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive receptor-ligand interaction"
Sucrose,NA
D-α-Tocopherol acetate,NA
α-Vitamin E,NA
Eicosapentaenoic Acid,NA
FENOFIBRATE,"PPAR signaling pathway, Adipocytokine signaling pathway"
FENOFIBRIC ACID,"PPAR signaling pathway, Adipocytokine signaling pathway"
AMLODIPINE BESYLATE,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
NISOLDIPINE,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
DOXAZOSIN MESYLATE,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
AZELASTINE HYDROCHLORIDE,"Calcium signaling pathway, Neuroactive ligand-receptor interaction"
FLUOXETINE HYDROCHLORIDE,Seratonergic synapse
OLANZAPINE,"Neuroactive ligand-receptor interaction, Seratonergic synapse , Dopaminergic synapse"
DEFEROXAMINE MESYLATE,NA
PIOGLITAZONE HYDROCHLORIDE,"PPAR signaling pathway, AMPK signaling pathway"
CELECOXIB,Arachidonic acid metabolism
SILDENAFIL CITRATE,cGMP-PKG signaling pathway
MEFLOQUINE,NA
APIXABAN,Complement and coagulation cascades
MOXIFLOXACIN HYDROCHLORIDE,DNA synthesis/replication
METFORMIN HYDROCHLORIDE,"AMPK signaling pathway, Insulin signaling pathway, Adipocytokine signaling pathway"
ATRACURIUM BESYLATE,Neuroactive ligand-receptor interaction
AMANTADINE HYDROCHLORIDE,"Neuroactive ligand-receptor interaction, Glutamatergic synapse, Dopaminergic synapse"
HYDRALAZINE HYDROCHLORIDE,NA
AMILORIDE HYDROCHLORIDE,Aldosterone-regulated sodium reabsorption
CLONIDINE HYDROCHLORIDE,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction"
TORSEMIDE,NA
CLOPIDOGREL SULFATE,NA
ACETAMINOPHEN,Arachidonic acid metabolism
LIDOCAINE HYDROCHLORIDE,"Adrenergic signaling in cardiomyocytes, Dopaminergic synapse"
Hydrocortisone 17-butyrate,Neuroactive ligand-receptor interaction
MINOXIDIL HYDROCHLORIDE,ABC transporters
PHENELZINE SULFATE,"Serotonergic synapse, Dopaminergic synapse, Tryptophan metabolism, Phenylalanine metabolism, Tyrosine metabolism"
OMEPRAZOLE,"Collecting duct acid secretion, 	Gastric acid secretion"
PALMIDROL [5mM],NA
Silibinin,NA
Duvelisib (IPI-145_ INK1197),PI3K-Akt signaling pathway
Decitabine,"Cysteine and methionine metabolism, MicroRNAs in cancer"
Hesperidin,NA
Ruxolitinib (INCB018424),"Chemokine signaling pathway, JAK-STAT signaling pathway"
Estradiol benzoate,Estrogen signaling pathway
Dexamethasone,Neuroactive ligand-receptor interaction
Genistein,NA
AZILSARTAN MEDOXOMIL,"Renin-angiotensin system, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
CLINDAMYCIN HYDROCHLORIDE,Ribosome- protein biosynthesis
TRAMADOL HYDROCHLORIDE,Neuroactive ligand-receptor interaction
TENOFOVIR,NA
Febuxostat,"Purine metabolism, Peroxisome"
Oseltamivir (phosphate),NA
Ezetimibe,Fat digestion and absorption
Rivaroxaban,Complement and coagulation cascades
Artesunate,NA
(S)-(+)-Ibuprofen,Arachidonic acid metabolism
Levofloxacin,DNA synthesis/replication
Nicorandil,"ABC transporters, cGMP-PKG signaling pathway, Vascular smooth muscle contraction"
Nitazoxanide,NA
Ramelteon,"Neuroactive ligand-receptor interaction, Circadian entrainment"
Tadalafil,Purine metabolism
Prasugrel,Platelet activation
Chloroquine Phosphate,NA
HYDROCORTISONE HEMISUCCINATE,Neuroactive ligand-receptor interaction
Azithromycin,Ribosome- protein biosynthesis
Tazobactam,beta-Lactam resistance
ATOVAQUONE,NA
Famotidine,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion"
Nifedipine,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
Clarithromycin,Ribosome- protein biosynthesis
Spironolactone,Aldosterone-regulated sodium reabsorption
Metronidazole,DNA synthesis/replication
Amoxicillin,Peptidoglycan biosynthesis
Progesterone,"Oocyte meiosis, Progesterone-mediated oocyte maturation, Estrogen signaling pathway"
Hydrocortisone,Neuroactive ligand-receptor interaction
Methylprednisolone,Neuroactive ligand-receptor interaction
Prednisolone,Neuroactive ligand-receptor interaction
Naproxen,Arachidonic acid metabolism
Clofazimine,NA
Loratadine,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
Vitamin K1,NA
Reserpine,"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse"
Acetylcysteine,NA
Mometasone furoate,Neuroactive ligand-receptor interaction
Dexamethasone acetate,Neuroactive ligand-receptor interaction
Estradiol,Estrogen signaling pathway
L-Ascorbic acid,NA
Folic acid,NA
Biotin,NA
