Name,MOA
Cefepime (Dihydrochloride Monohydrate),bacterial cell wall synthesis inhibitor
S-Ruxolitinib (INCB018424),JAK inhibitor
Nicardipine (hydrochloride),calcium channel blocker
ADENOSINE,adenosine receptor agonist
Sodium Salicylate,
Tamoxifen (Citrate),"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)"
Liothyronine,thyroid hormone stimulant
LANSOPRAZOLE,ATPase inhibitor
ISRADIPINE,calcium channel blocker
FELODIPINE,calcium channel blocker
CIPROFLOXACIN,bacterial DNA gyrase inhibitor
DAPSONE,bacterial antifolate
AMINOCAPROIC ACID HYDROCHLORIDE,plasminogen activator inhibitor
ATENOLOL,adrenergic receptor antagonist
DIPYRIDAMOLE,phosphodiesterase inhibitor
BUMETANIDE,solute carrier family member inhibitor
CHLORTHALIDONE,carbonic anhydrase inhibitor
DISULFIRAM,"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPV agonist"
CETYLPYRIDINIUM CHLORIDE,
CYPROHEPTADINE HYDROCHLORIDE,histamine receptor antagonist
SULFAMETHOXAZOLE,
TRIAMTERENE,sodium channel blocker
PRAZOSIN HYDROCHLORIDE,adrenergic receptor antagonist
IBUPROFEN,cyclooxygenase inhibitor
METHYLDOPA,adrenergic receptor agonist
BENDROFLUMETHIAZIDE,sodium/potassium/chloride transporter inhibitor
METOLAZONE,carbonic anhydrase inhibitor
INDAPAMIDE,thiazide diuretic
CYCLOSPORINE,
FLUORESCEIN,
THEOPHYLLINE,
PROPRANOLOL HYDROCHLORIDE (+/-),adrenergic receptor antagonist
ETHACRYNIC ACID,
FLURBIPROFEN,cyclooxygenase inhibitor
BUPIVACAINE HYDROCHLORIDE,sodium channel blocker
PINDOLOL,adrenergic receptor antagonist
PROMETHAZINE HYDROCHLORIDE,histamine receptor antagonist
PENTOXIFYLLINE,phosphodiesterase inhibitor
GUANFACINE HYDROCHLORIDE,adrenergic receptor agonist
INDOMETHACIN,cyclooxygenase inhibitor
PYRIDOSTIGMINE BROMIDE,
DIPHENHYDRAMINE HYDROCHLORIDE,histamine receptor antagonist
ASPIRIN,cyclooxygenase inhibitor
HYDROCORTISONE ACETATE,glucocorticoid receptor agonist
FUROSEMIDE,
TRIMETHOPRIM,dihydrofolate reductase inhibitor
HYDROCHLOROTHIAZIDE,
CHLORHEXIDINE DIHYDROCHLORIDE,membrane integrity inhibitor
RETINOL,retinoid receptor ligand
CHLOROTHIAZIDE,
ALBUTEROL,adrenergic receptor agonist
MELATONIN,"melatonin receptor agonist, nitric oxide synthase inhibitor"
Fostamatinib (R788),SYK inhibitor
GLUTAMINE (D),
Rapamycin,
Diroximel fumarate,
Apremilast,phosphodiesterase inhibitor
Beclometasone dipropionate,
Iloprost,"platelet aggregation inhibitor, prostanoid receptor agonist"
Pirfenidone,TGF beta receptor inhibitor
Acalabrutinib,Bruton's tyrosine kinase (BTK) inhibitor
Vortioxetine,"serotonin receptor agonist, serotonin receptor antagonist"
Tenofovir Disoproxil,nucleoside reverse transcriptase inhibitor
Tazemetostat,histone lysine methyltransferase inhibitor
Regadenoson,adenosine receptor agonist
Ritonavir,HIV protease inhibitor
Zafirlukast,leukotriene receptor antagonist
Emtricitabine,nucleoside reverse transcriptase inhibitor
Aprepitant,tachykinin antagonist
Minoxidil ,"KATP activator, Kir6 channel (KATP) activator, vasodilator"
PREGABALIN HYDROCHLORIDE,
GLYCOPYRROLATE,acetylcholine receptor antagonist
GLUCOSAMINE HYDROCHLORIDE,glycosylated protein precursor
NIACINAMIDE,
ESTRADIOL CYPIONATE,estrogen receptor agonist
Estradiol (cypionate),estrogen receptor agonist
Estradiol valerianate,estrogen receptor agonist
Cyclosporin A,
ITRACONAZOLE HYDROCHLORIDE,cytochrome P450 inhibitor
NICARDIPINE HYDROCHLORIDE,
AMIODARONE HYDROCHLORIDE,potassium channel blocker
CARVEDILOL,adrenergic receptor antagonist
THIAMINE,
NIACIN,"NAD precursor, vitamin B"
Darunavir,HIV protease inhibitor
Cobicistat,cytochrome P450 inhibitor
Fluticasone (propionate),glucocorticoid receptor agonist
Tenofovir alafenamide,nucleoside reverse transcriptase inhibitor
Sofosbuvir,
Ethynyl Estradiol,
Nelfinavir,HIV protease inhibitor
Dolutegravir,HIV integrase inhibitor
Lopinavir,HIV protease inhibitor
Ledipasvir,HCV inhibitor
Edoxaban,coagulation factor inhibitor
Eplerenone,cytochrome P450 inhibitor
Linagliptin,dipeptidyl peptidase inhibitor
Ticagrelor,purinergic receptor antagonist
Ropivacaine,sodium channel blocker
Raltegravir,HIV integrase inhibitor
Etravirine,non-nucleoside reverse transcriptase inhibitor
Salmeterol,adrenergic receptor agonist
Sucrose,
D-α-Tocopherol acetate,
α-Vitamin E,
Eicosapentaenoic Acid,
FENOFIBRATE,PPAR receptor agonist
FENOFIBRIC ACID,cytochrome P450 inhibitor
AMLODIPINE BESYLATE,calcium channel blocker
NISOLDIPINE,calcium channel blocker
DOXAZOSIN MESYLATE,adrenergic receptor antagonist
AZELASTINE HYDROCHLORIDE,histamine receptor antagonist
FLUOXETINE HYDROCHLORIDE,selective serotonin reuptake inhibitor (SSRI)
OLANZAPINE,"dopamine receptor antagonist, serotonin receptor antagonist"
DEFEROXAMINE MESYLATE,
PIOGLITAZONE HYDROCHLORIDE,"insulin sensitizer, PPAR receptor agonist"
CELECOXIB,cyclooxygenase inhibitor
SILDENAFIL CITRATE,phosphodiesterase inhibitor
MEFLOQUINE,"adenosine receptor antagonist, hemoglobin antagonist"
APIXABAN,coagulation factor inhibitor
MOXIFLOXACIN HYDROCHLORIDE,bacterial DNA gyrase inhibitor
METFORMIN HYDROCHLORIDE,insulin sensitizer
ATRACURIUM BESYLATE,acetylcholine receptor antagonist
AMANTADINE HYDROCHLORIDE,glutamate receptor antagonist
HYDRALAZINE HYDROCHLORIDE,
AMILORIDE HYDROCHLORIDE,sodium channel blocker
CLONIDINE HYDROCHLORIDE,adrenergic receptor agonist
TORSEMIDE,
CLOPIDOGREL SULFATE,purinergic receptor antagonist
ACETAMINOPHEN,cyclooxygenase inhibitor
LIDOCAINE HYDROCHLORIDE,histamine receptor agonist
Hydrocortisone 17-butyrate,glucocorticoid receptor agonist
MINOXIDIL HYDROCHLORIDE,"KATP activator, Kir6 channel (KATP) activator, vasodilator"
PHENELZINE SULFATE,monoamine oxidase inhibitor
OMEPRAZOLE,ATPase inhibitor
PALMIDROL [5mM],
Silibinin,cytochrome P450 inhibitor
Duvelisib (IPI-145_ INK1197),PI3K inhibitor
Decitabine,DNA methyltransferase inhibitor
Hesperidin,flavanone glycoside
Ruxolitinib (INCB018424),JAK inhibitor
Estradiol benzoate,
Dexamethasone,glucocorticoid receptor agonist
Genistein,tyrosine kinase inhibitor
AZILSARTAN MEDOXOMIL,angiotensin receptor antagonist
CLINDAMYCIN HYDROCHLORIDE,protein synthesis inhibitor
TRAMADOL HYDROCHLORIDE,
TENOFOVIR,"HIV integrase inhibitor, nucleoside reverse transcriptase inhibitor"
Febuxostat,xanthine oxidase inhibitor
Oseltamivir (phosphate),neuraminidase inhibitor
Ezetimibe,"cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist"
Rivaroxaban,coagulation factor inhibitor
Artesunate,DNA synthesis inhibitor
(S)-(+)-Ibuprofen,cyclooxygenase inhibitor
Levofloxacin,bacterial DNA gyrase inhibitor
Nicorandil,"nitric oxide donor, potassium channel activator"
Nitazoxanide,pyruvate ferredoxin oxidoreductase inhibitor
Ramelteon,melatonin receptor agonist
Tadalafil,phosphodiesterase inhibitor
Prasugrel,purinergic receptor antagonist
Chloroquine Phosphate,antimalarial agent
HYDROCORTISONE HEMISUCCINATE,
Azithromycin,bacterial 50S ribosomal subunit inhibitor
Tazobactam,beta lactamase inhibitor
ATOVAQUONE,mitochondrial electron transport inhibitor
Famotidine,histamine receptor antagonist
Nifedipine,calcium channel blocker
Clarithromycin,bacterial 50S ribosomal subunit inhibitor
Spironolactone,mineralocorticoid receptor antagonist
Metronidazole,DNA inhibitor
Amoxicillin,penicillin binding protein inhibitor
Progesterone,progesterone receptor agonist
Hydrocortisone,glucocorticoid receptor agonist
Methylprednisolone,glucocorticoid receptor agonist
Prednisolone,glucocorticoid receptor agonist
Naproxen,cyclooxygenase inhibitor
Clofazimine,GK0582 inhibitor
Loratadine,histamine receptor antagonist
Vitamin K1,
Reserpine,vesicular monoamine transporter inhibitor
Acetylcysteine,mucolytic agent
Mometasone furoate,glucocorticoid receptor agonist
Dexamethasone acetate,glucocorticoid receptor agonist
Estradiol,estrogen receptor agonist
L-Ascorbic acid,
Folic acid,folate receptor ligand
Biotin,vitamin B
